state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,15/10/2019,660,2130,1660
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,15/10/2019,700,1800,1400
Andhra Pradesh,Chittor,Palamaner,Beetroot,Beetroot,15/10/2019,1000,2000,1500
Andhra Pradesh,Chittor,Palamaner,Bitter gourd,Bitter Gourd,15/10/2019,1000,2000,1500
Andhra Pradesh,Chittor,Palamaner,Bottle gourd,Bottle Gourd,15/10/2019,600,1200,900
Andhra Pradesh,Chittor,Palamaner,Brinjal,Brinjal,15/10/2019,1500,2500,2000
Andhra Pradesh,Chittor,Palamaner,Cabbage,Cabbage,15/10/2019,250,750,500
Andhra Pradesh,Chittor,Palamaner,Carrot,Carrot,15/10/2019,2500,4500,3500
Andhra Pradesh,Chittor,Palamaner,Cauliflower,Cauliflower,15/10/2019,500,1500,1000
Andhra Pradesh,Chittor,Palamaner,Cluster beans,Cluster Beans,15/10/2019,2500,4500,3500
Andhra Pradesh,Chittor,Palamaner,Cucumbar(Kheera),Cucumbar,15/10/2019,750,1250,1000
Andhra Pradesh,Chittor,Palamaner,Green Chilli,Green Chilly,15/10/2019,1000,2000,1500
Andhra Pradesh,Chittor,Palamaner,Raddish,Raddish,15/10/2019,500,1500,1000
Andhra Pradesh,Chittor,Palamaner,Ridgeguard(Tori),Ridgeguard(Tori),15/10/2019,500,1500,1000
Andhra Pradesh,Chittor,Palamaner,Tomato,Hybrid,15/10/2019,300,2300,1300
Andhra Pradesh,Chittor,Piler,Tomato,Deshi,15/10/2019,750,1250,1000
Andhra Pradesh,Chittor,Vayalapadu,Tomato,Local,15/10/2019,800,4000,2400
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Chakkarakeli(Red),15/10/2019,1000,1200,1000
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Chakkarakeli(White),15/10/2019,700,1200,1000
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Karpura,15/10/2019,700,1200,1000
Andhra Pradesh,Kurnool,Atmakur,Maize,Hybrid/Local,15/10/2019,1700,1700,1700
Andhra Pradesh,Kurnool,Atmakur,Paddy(Dhan)(Common),Sona Mahsuri,15/10/2019,1750,1750,1750
Andhra Pradesh,Kurnool,Dhone,Arhar (Tur/Red Gram)(Whole),777 New Ind,15/10/2019,5675,5675,5675
Andhra Pradesh,Kurnool,Koilkunta,Bengal Gram(Gram)(Whole),999,15/10/2019,4000,4300,4100
Andhra Pradesh,Kurnool,Koilkunta,Jowar(Sorghum),Jowar ( White),15/10/2019,2100,2500,2300
Andhra Pradesh,Kurnool,Koilkunta,Paddy(Dhan)(Common),B P T,15/10/2019,1900,2100,2000
Andhra Pradesh,Kurnool,Nandyal,Bengal Gram(Gram)(Whole),Desi (Whole),15/10/2019,4650,4750,4700
Andhra Pradesh,Kurnool,Nandyal,Jowar(Sorghum),Jowar (Yellow),15/10/2019,2450,2550,2500
Andhra Pradesh,Kurnool,Nandyal,Paddy(Dhan)(Common),Sona Mahsuri,15/10/2019,1800,1900,1850
Andhra Pradesh,Kurnool,Nandyal,Rice,Sona Fine,15/10/2019,4200,4300,4250
Andhra Pradesh,Kurnool,Pattikonda,Bengal Gram(Gram)(Whole),Jawari/Local,15/10/2019,4500,6000,5200
